obs,low        (fiat),high      (fiat),open      (fiat),close     (fiat),vol      (fiat),trade_vol  (fiat),low (crypto),high (crypto),open (crypto),close (crypto),vol (crypto),trade_vol (crypto),
1,69.103,72.883,71.188,70.718,3671.094246,259612.4429,0.00835457,0.00864785,0.00856643,0.00845014,635.0477878,5.366242714,
2,69.012,70.998,70.691,70.969,1455.866969,103321.4229,0.00838294,0.00852033,0.00844678,0.00845898,348.847022,2.950889982,
3,68.006,71.232,71.109,69.297,2087.604971,144664.7617,0.00836785,0.00854834,0.00844422,0.00843935,458.1275422,3.866298673,
4,68.002,70.573,69.328,69.864,1770.263955,123677.7209,0.00841485,0.00856488,0.00845203,0.00856188,239.3342953,2.049151516,
5,68.341,70.35,69.846,70.214,1541.626939,108243.7939,0.00850048,0.00861601,0.00855,0.00857511,209.1793331,1.793735791,
6,68,71.405,70.215,69.537,2260.409072,157182.0657,0.00856453,0.00891098,0.00857869,0.00879967,749.7126863,6.597224234,
7,68.002,72.429,69.156,71.007,2564.572648,182102.61,0.00858548,0.00888065,0.00881957,0.00862213,456.307146,3.934339533,
8,69.902,104.036,71.26,71.058,23120.58303,1642902.389,0.00858548,0.01289,0.00863279,0.0086535,5007.463511,43.3320855,
9,70.308,74.752,70.669,73.698,11059.78085,815083.7291,0.008535,0.00876265,0.00863117,0.00862571,2649.597423,22.85465898,
10,70.701,74.99,74.373,72.603,4254.419599,308883.6262,0.00833404,0.00871333,0.00866887,0.00850373,712.8143579,6.06158084,
11,69.5,73.959,72.811,69.5,3990.774122,277358.8015,0.00838007,0.00868137,0.00847779,0.00843177,426.4677984,3.595878388,
12,69.487,73.871,69.681,70.627,2882.411149,203576.0522,0.00838022,0.00875,0.00841859,0.00851032,291.8102624,2.483398712,
13,70.01,72.051,70.611,70.279,1725.940092,121297.3437,0.0083899,0.00863286,0.0085,0.00847753,933.1204825,7.910556884,
14,70.004,71.81,70.279,71.3,2811.955206,200492.4062,0.00846133,0.00861948,0.00848706,0.0085285,289.8520153,2.472002913,
15,70.735,73.251,71.239,71.6,7677.626032,549718.0239,0.0084631,0.00881699,0.00849422,0.00877906,1778.912192,15.61717686,
16,64.963,73,71.406,68.194,11410.09847,778100.2552,0.0083445,0.00879267,0.00873825,0.00850652,2576.062621,21.91332821,
17,66.943,70.595,67.984,69.028,3896.124701,268941.6958,0.00839248,0.00869388,0.00847761,0.00854778,698.9150652,5.974172216,
18,66.744,69.269,69.028,68.099,1686.215446,114829.5857,0.00847457,0.00867261,0.00854778,0.00855349,303.5770862,2.596643571,
19,67.096,68.806,68,67.5,1091.041482,73645.30002,0.00843001,0.00859253,0.00856931,0.00849162,416.9006942,3.540162273,
20,67.047,70.121,67.492,69.252,2226.96646,154221.8813,0.008407,0.00864986,0.00847662,0.008407,465.2197662,3.911102574,
21,67.767,69.975,69.323,68.979,2745.620493,189390.156,0.00830327,0.0084621,0.00840701,0.00837359,543.3716234,4.549971192,
22,66.8,69.776,68.849,67.277,2457.549007,165336.5246,0.00823401,0.00845221,0.00837249,0.00835462,952.3621243,7.956623651,
23,60.616,67.47,67.303,62.573,7013.586617,438861.1554,0.00829468,0.00844692,0.00835626,0.00841099,991.0076871,8.335355746,
24,61.138,63.488,62.782,62.579,3094.916858,193676.802,0.00829043,0.0084804,0.00837915,0.00838299,277.8625715,2.329319158,
25,62.325,70.5,62.549,70.172,5358.516009,376017.7854,0.0078831,0.00847772,0.00839083,0.00806068,1179.841892,9.510327941,
26,67.541,80,70.679,70.641,9116.555575,644002.6023,0.00711113,0.00805015,0.00803584,0.00763868,3028.508699,23.13380883,
27,67.546,74.475,70.766,72.401,6332.206188,458458.0602,0.00735264,0.00772014,0.00759365,0.00753727,1487.925976,11.21489982,
28,71.742,76.996,72.405,71.941,4389.760665,315803.772,0.00747553,0.00786325,0.00753625,0.00775996,1783.749742,13.84182665,
29,71.223,76.37,71.501,73.374,2699.472536,198071.0979,0.00769428,0.00808695,0.00775399,0.00777363,1924.397834,14.95955673,
30,71.165,74.988,73.301,72.346,2353.621449,170275.0973,0.00771719,0.00807323,0.0077715,0.00785754,663.1780702,5.210948213,
31,70.122,72.921,72.314,71.379,1717.281549,122577.8397,0.00767036,0.00798116,0.00787175,0.00781224,1299.359982,10.15091203,
32,70.135,72.357,71.35,72.031,1855.588143,133659.8695,0.0077145,0.0078683,0.00784609,0.00776626,398.3973383,3.094057312,
33,71.358,72.649,72.034,72.415,1446.86347,104774.6182,0.00763424,0.00781835,0.00776297,0.00775959,629.6102605,4.885517481,
34,70.657,73,72.471,71.389,1469.385822,104897.9844,0.00768526,0.007772,0.00775754,0.00772666,283.436833,2.19002004,
35,70.828,74,71.225,72.703,1837.069961,133560.4974,0.00768474,0.0078683,0.00775683,0.00774764,1202.035472,9.312938107,
36,71.345,75.72,72.694,74.59,3784.458938,282282.7922,0.00767,0.00799988,0.0077172,0.00799766,3263.066792,26.09689876,
37,72.763,74.899,74.686,74.298,3911.120056,290588.3979,0.0078,0.008,0.0079999,0.00794716,497.2051132,3.951368587,
38,71.342,74.664,74.227,71.99,3146.069216,226485.5229,0.0077501,0.00797214,0.00794667,0.00785009,617.2476375,4.845449506,
39,68,72.999,71.833,69.457,3626.612387,251893.6166,0.00776095,0.00791962,0.00784392,0.00789281,368.7925364,2.910809419,
40,69.003,71.53,69.046,69.889,1950.115588,136291.6283,0.00787263,0.00795611,0.00790381,0.0079241,220.8187661,1.749789984,
41,69.194,72.56,69.832,71.5,4913.678953,351328.0451,0.00765508,0.008,0.0079231,0.00790389,1211.248942,9.573578398,
